Sales Invoice,فاتورة بيع
Settings,الإعدادات
Setup,تهيئة
Patient,مريض
Patients,مرضى
Healthcare Patient,مريض
Billing customer,مريض
Billing Customer,مريض
Customer,مريض
Customers,مرضى
Customers / patients,مرضى
New Customer,مريض جديد
Customer Name,اسم المريض
Customer Receipt,قبض من مريض
Select Customer,اختر مريضاً
Customer Profile,ملف المريض
Patient Medical File,الملف الطبي للمريض
Medical file / الملف الطبي,الملف الطبي
MPI & Patient Access,سجل المرضى والوصول
Patient Merge Log,سجل دمج المرضى
Patient Portal,بوابة المريض
Patient Queue,طابور المرضى
