Add Customer,Add Patient
Billing account (ERP),Patient billing (internal)
Billing Customer,Patient
Billing customer,Patient
Create Customer,Create Patient
CRM Customer Revenue,Patient Revenue
Customer,Patient
customer,patient
Customer 360,Patient 360
Customer and Payment,Patient and Payment
Customer Email,Patient Email
Customer Group,Patient Group
Customer Name,Patient Name
Customer name,Patient name
Customer Profile,Patient Record
Customer Receipt,Patient Receipt
Customer Type,Patient Type
Customers,Patients
customers,patients
Default Customer,Default Patient
End Customer,Patient
Linked Accounting Customer,Patient billing account
New Customer,New Patient
Primary Customer,Primary Patient
Select Customer,Select Patient
Walk-in Customer,Walk-in Patient
